measurement_id,claim_id,metric,numerator,denominator,unit,population,baseline,geography,time_horizon,comparison,attribution_assumptions,calculation,model_version,sensitivity,overlap_group_id,notes,source_ids,value_basis,value_review_status,amount_role,currency_price_basis,uncertainty,reviewer,review_date,option_holder,exercise_trigger,expiry,exercise_cost,maintenance_cost,delay_cost,constrained_alternative,probability_basis,codebook_version,review_batch
MEAS-G2-056,C-G2-070,LCR Music total economic impact,779800000,,GBP,LCR music economy total,,Liverpool City Region,25,,Type II multiplier 1.92 applied to direct GVA,Four-tier workforce model + Type II multiplier,v1,Multiplier assumptions apply,,LCRMUS total impact,SRC-G2-028,DESCRIPTIVE_ESTIMATE,NOT_REVIEWED,ECONOMIC_BASELINE,GBP nominal,,Devin,26/09/11,,,,,,,,1.3-candidate,G2-BATCH-B,
MEAS-G2-057,C-G2-070,LCR Music headcount,14370,,workers,LCR music economy,,Liverpool City Region,25,,Four-tier workforce model,Four-tier workforce model,v1,,,LCRMUS headcount,SRC-G2-028,DESCRIPTIVE_ESTIMATE,NOT_REVIEWED,ECONOMIC_BASELINE,count,,Devin,26/09/11,,,,,,,,1.3-candidate,G2-BATCH-B,
MEAS-G2-058,C-G2-070,LCR Music FTE,7215,,FTE,LCR music economy,,Liverpool City Region,25,,Four-tier workforce model,Four-tier workforce model,v1,,,LCRMUS FTE,SRC-G2-028,DESCRIPTIVE_ESTIMATE,NOT_REVIEWED,ECONOMIC_BASELINE,FTE,,Devin,26/09/11,,,,,,,,1.3-candidate,G2-BATCH-B,
MEAS-G2-059,C-G2-072,LCR Music SNA businesses,272,,businesses,LCR music businesses,,Liverpool City Region,25,,Social network analysis,SNA of LinkedIn workforce movement,v1,Low connectivity limits spillover claims,,LCRMUS SNA sample,SRC-G2-028,DESCRIPTIVE_ESTIMATE,NOT_REVIEWED,ECONOMIC_BASELINE,count,,Devin,26/09/11,,,,,,,,1.3-candidate,G2-BATCH-B,
MEAS-G2-060,C-G2-072,LCR Music SNA closed triangles,12,,percent,LCR music business connections,,Liverpool City Region,25,,SNA,SNA triangle analysis,v1,Only 0.6% of possible connections exist,,LCRMUS SNA triangles,SRC-G2-028,DESCRIPTIVE_ESTIMATE,NOT_REVIEWED,ECONOMIC_BASELINE,percent,,Devin,26/09/11,,,,,,,,1.3-candidate,G2-BATCH-B,
MEAS-G2-061,C-G2-072,LCR Music SNA average degree,1.67,,connections per business,LCR music businesses,,Liverpool City Region,25,,SNA,SNA degree analysis,v1,,,LCRMUS SNA degree,SRC-G2-028,DESCRIPTIVE_ESTIMATE,NOT_REVIEWED,ECONOMIC_BASELINE,connections per business,,Devin,26/09/11,,,,,,,,1.3-candidate,G2-BATCH-B,
MEAS-G2-062,C-G2-073,LCR Music £1bn target,1000000000,,GBP,LCR music economy target,779800000 (2025 baseline),Liverpool City Region,35,2.5% CAGR required,Growth scenario modelling,Four growth scenarios (Organic to Transformational),v1,Modelled targets not realised outcomes,,LCRMUS growth target,SRC-G2-028,SCENARIO_ESTIMATE,NOT_REVIEWED,BENEFIT,GBP nominal,4 growth levers: IP capture £100m production export £75m formalisation £60m venues £50m music-tech £43m,Devin,26/09/11,LCR Music Board,Growth strategy implementation,No expiry specified,,,,No demand validation,No probability basis,1.3-candidate,G2-BATCH-B
MEAS-G2-063,C-G2-074,LCR Music IP capture shift,40000000,,GBP lower bound,LCR artists moving to IP ownership,,Liverpool City Region,UNKNOWN,,Scenario modelling,20% artist shift scenario,v1,Modelled design proposition,,LCRMUS IP capture (lower),SRC-G2-028,SCENARIO_ESTIMATE,NOT_REVIEWED,BENEFIT,GBP nominal,IP capture leaks to London; streaming revenue decline,Devin,26/09/11,,,,,,,,1.3-candidate,G2-BATCH-B,
MEAS-G2-064,C-G2-074,LCR Music IP capture shift (upper),85000000,,GBP upper bound,LCR artists moving to IP ownership,,Liverpool City Region,UNKNOWN,,Scenario modelling,20% artist shift scenario,v1,Modelled design proposition,,LCRMUS IP capture (upper),SRC-G2-028,SCENARIO_ESTIMATE,NOT_REVIEWED,BENEFIT,GBP nominal,,Devin,26/09/11,,,,,,,,1.3-candidate,G2-BATCH-B,
MEAS-G2-065,C-G2-075,Solent/Hampshire CI GVA (reconciled),5250000000,,GBP,SHCA creative economy,6900000000 (DCMS top-down),Solent and Hampshire,25,DCMS £6.9bn almost certainly overestimate,ONS regional output + DCMS reconciliation,ONS regional output £3.4bn + DCMS scaled reconciliation,v1,DCMS top-down overestimate; 31% IT contraction,,SOLENTHANTS GVA reconciled,SRC-G2-029,DESCRIPTIVE_ESTIMATE,NOT_REVIEWED,ECONOMIC_BASELINE,GBP nominal,,Devin,26/09/11,,,,,,,,1.3-candidate,G2-BATCH-B,
MEAS-G2-066,C-G2-075,Solent/Hampshire BRES employees,39980,,workers,SHCA creative economy,,Solent and Hampshire,25,,BRES 2023,BRES 2023,v1,,,SOLENTHANTS BRES,SRC-G2-029,DESCRIPTIVE_ESTIMATE,NOT_REVIEWED,ECONOMIC_BASELINE,count,,Devin,26/09/11,,,,,,,,1.3-candidate,G2-BATCH-B,
MEAS-G2-067,C-G2-075,Solent/Hampshire LinkedIn workforce,80511,,workers,SHCA creative economy,,Solent and Hampshire,25,,LinkedIn 25/04,LinkedIn via Curator Technologies,v1,LinkedIn over-represents advertising/design 6-8x BRES,,SOLENTHANTS LinkedIn,SRC-G2-029,DESCRIPTIVE_ESTIMATE,NOT_REVIEWED,ECONOMIC_BASELINE,count,,Devin,26/09/11,,,,,,,,1.3-candidate,G2-BATCH-B,
MEAS-G2-068,C-G2-075,Solent/Hampshire IDBR businesses,7530,,businesses,SHCA creative economy,,Solent and Hampshire,25,,IDBR,IDBR,v1,,,SOLENTHANTS IDBR,SRC-G2-029,DESCRIPTIVE_ESTIMATE,NOT_REVIEWED,ECONOMIC_BASELINE,count,,Devin,26/09/11,,,,,,,,1.3-candidate,G2-BATCH-B,
