review_id,review_batch,record_type,record_id,field_name,action,coder,recorded_at,codebook_version,initial_value,previous_value,new_value,source_ids,source_locator,rationale,adjudicator,decision_status,related_review_ids,successor_record_ids
REV-R3-014,R3,DOUBLE_CODE,C-R3-023,claim_type,DOUBLE_CODE,Iain,26/09/09T10:00:00Z,1.3-candidate,METHOD_OUTPUT,METHOD_OUTPUT,METHOD_OUTPUT,SRC-R2-09B,LIVDCI cluster,Agreed on first pass,Devin,RESOLVED,,R3-BATCH-C
REV-R3-015,R3,DOUBLE_CODE,C-R3-027,evidence_status,DOUBLE_CODE,Iain,26/09/09T10:00:00Z,1.3-candidate,REPORTED,REPORTED,REPORTED,SRC-R2-10,CDEC convergence,Agreed; contextual-vs-hypothesis rule applied,Devin,RESOLVED,,R3-BATCH-C
REV-R3-016,R3,DOUBLE_CODE,C-R3-029,claim_type,DOUBLE_CODE,Iain,26/09/09T10:00:00Z,1.3-candidate,METHOD_OUTPUT,METHOD_OUTPUT,METHOD_OUTPUT,SRC-R2-11,Kirklees three-cycle,Agreed on first pass,Devin,RESOLVED,,R3-BATCH-D
REV-R3-017,R3,DOUBLE_CODE,T01-BCAT,bid_recommendation,DOUBLE_CODE,Iain,26/09/09T10:00:00Z,1.3-candidate,BID,BID,BID,SRC-R2-13;SRC-R2-14;SRC-R2-15,British Council RFP,Agreed on first pass,Devin,RESOLVED,,R3-OPPORTUNITIES
REV-R3-018,R3,DOUBLE_CODE,T04-LCRFILM,bid_recommendation,DOUBLE_CODE,Iain,26/09/09T10:00:00Z,1.3-candidate,PASS,PASS,CONDITIONAL_HOLD,SRC-R2-12,LCR ITQ,Iain clarified: Phase 1 bid submitted but unsuccessful; awaiting confirmation of process to tender for remaining phases; update to CONDITIONAL_HOLD pending remaining phases process,Devin,RESOLVED,,R3-OPPORTUNITIES
REV-R3-019,R3,DOUBLE_CODE,T05-DERBY,bid_recommendation,DOUBLE_CODE,Iain,26/09/09T10:00:00Z,1.3-candidate,HOLD,HOLD,HOLD,,Derby tender docs,Iain provided Google Docs link for Derby tender documents; requires authentication to access; HOLD pending source extraction,Devin,RESOLVED,,R3-OPPORTUNITIES
REV-R3-020,R3,M3_DECISION,,M3_APPROVAL,GATE_DECISION,Iain,26/09/09T11:00:00Z,1.3-candidate,ACCEPT,ACCEPT,ACCEPT,,M3 acceptance criteria met; pilot G2-ready; v1.3 promoted to accepted pilot release,Iain,RESOLVED,,R3
REV-R3-021,R3,VALIDATION,VAL-R3-001,source_location,VALIDATION,Iain,26/09/09T12:00:00Z,1.3-candidate,HOLD,RESOLVED,NO_BID,,SRC-R3-04;SRC-R3-05;SRC-R3-06;SRC-R3-07,T05-DERBY sources extracted; bid UNSUCCESSFUL; below threshold no feedback; updated from HOLD to NO_BID,Devin,RESOLVED,,R3-T05
REV-R3-022,R3,VALIDATION,VAL-R3-004,contracting_role,VALIDATION,Iain,26/09/09T12:00:00Z,1.3-candidate,UNKNOWN,RESOLVED,PRIME,,SRC-R2-01;SRC-R2-02,P01-NES contracting role confirmed as PRIME by Iain,Devin,RESOLVED,,R3-BATCH-A
REV-R3-023,R3,VALIDATION,VAL-R3-005,client_acceptance,VALIDATION,Iain,26/09/09T12:00:00Z,1.3-candidate,UNKNOWN,RESOLVED,ACCEPTED,,SRC-R2-02,P01-NES v3.12 report formally accepted by client; confirmed by Iain,Devin,RESOLVED,,R3-BATCH-A
REV-R3-024,R3,VALIDATION,VAL-R3-006,contracting_role,VALIDATION,Iain,26/09/09T12:00:00Z,1.3-candidate,SUBCONTRACTOR,RESOLVED,PRIME,,SRC-R2-03;SRC-R3-01;SRC-R3-02;SRC-R3-03,P02-FGTG Fifth Sector was PRIME to Manchester Met (not MMU); Man Met was lead for consortium of GMCA Growth Company U Manchester U Salford Manchester Met; corrected by Iain,Devin,RESOLVED,,R3-BATCH-A
REV-R3-025,R3,VALIDATION,VAL-R3-007,client_acceptance,VALIDATION,Iain,26/09/09T12:00:00Z,1.3-candidate,UNKNOWN,RESOLVED,ACCEPTED,,SRC-R2-04,P03-MITIH Oct 24 reconciliation report accepted by client; confirmed by Iain; Jun 12 report rejected for recommendations only,Devin,RESOLVED,,R3-BATCH-A
REV-R3-026,R3,VALIDATION,VAL-R3-008,confidentiality,VALIDATION,Iain,26/09/09T12:00:00Z,1.3-candidate,CONFIDENTIAL,RESOLVED,NOT_CONFIDENTIAL_UNPUBLISHED,,SRC-R2-04,P03-MITIH report is NOT confidential but unpublished; CONFIDENTIAL label corrected by Iain; report accepted by client,Devin,RESOLVED,,R3-BATCH-A
REV-R3-027,R3,VALIDATION,VAL-R3-018,contracting_role,VALIDATION,Iain,26/09/09T12:00:00Z,1.3-candidate,UNKNOWN,RESOLVED,PRIME,,SRC-R2-11,P10-KIRK Fifth Sector was PRIME contractor for all three cycles (2022 2024 2026); confirmed by Iain,Devin,RESOLVED,,R3-BATCH-D
REV-R3-028,R3,VALIDATION,VAL-R3-019,client_acceptance,VALIDATION,Iain,26/09/09T12:00:00Z,1.3-candidate,IN_PROGRESS,RESOLVED,SUBMITTED_PENDING,,SRC-R2-11,P10-KIRK 2026 report submitted but pending acceptance; confirmed by Iain,Devin,RESOLVED,,R3-BATCH-D
REV-R3-029,R3,VALIDATION,VAL-R3-023,policy_use,VALIDATION,Iain,26/09/09T12:00:00Z,1.3-candidate,UNKNOWN,RESOLVED,USED_IN_POLICY,,SRC-R2-11,P10-KIRK £250.9m GVA and other findings HAVE BEEN USED in Kirklees Council policy decisions; confirmed by Iain; this upgrades C-R3-033 option_state from PROPOSED to EXERCISED; significant evidence of decision use,Devin,RESOLVED,,R3-BATCH-D
REV-G2-001,26/09/09,Devin,G2-BATCH-A,Phase 1 pre-2020 cohort started,G2 Phase 1 Tier 1 coverage screening began with pre-2020 exception projects: P11-ELFC (East London Fashion Cluster) and P12-KIRK15 (Kirklees 2015). All 5 ELFC source documents fully extracted and read (1697+348+85+67 lines + 6-sheet xlsx). 10 claims coded: 4 method outputs (baseline measurements); 4 proposed options (knowledge/product spillovers gated sequence visibility); 2 contextual findings (LQ analysis spillover evidence gap). 5 methods registered. 16 evidence links created. Key finding: ELFC report is a STRATEGY not an evaluation - all outcomes are proposals/forecasts. GLA Economics note (Iain-authored) explicitly identifies spillover evidence as critical gap for intervention case. Kirklees 2015 is data-only baseline (CI 3360 CE 5020 GVA £100.979m) for diff with later P10-KIRK cycles.,v1.3,REVIEWED,Devin,26/09/09,G2-BATCH-A
REV-G2-002,26/09/09,Devin,G2-BATCH-A,Pre-2020 lighter-touch cohort completed,G2 Phase 1 Tier 1 coverage screening completed for all 5 pre-2020 projects. 3 additional projects registered (P13-CWL P14-DCAT P15-LIVMUS). 5 additional sources extracted and fully read (SRC-G2-006 through SRC-G2-010). 13 additional claims coded (C-G2-011 through C-G2-023). 3 additional methods registered (M-G2-006 through M-G2-008). 16 additional evidence links created (E-G2-017 through E-G2-032). Key findings: CWL evaluation explicitly addresses counterfactual reasoning and identifies spillover evidence gap; Digital Catapult mapping explicitly investigates positive externalities and spillovers in collaborative R&D using qualitative approach due to absence of quantitative data; Liverpool City of Music strategy identifies production services cross-sector network spillover (Adlib serving music conferences theatre non-music events) and proposes Production Park as cross-sector skills hub. All pre-2020 claims are either baseline measurements or proposed options/hypotheses - no realised intervention outcomes. Pre-2020 effort limit (20%) respected with lighter-touch treatment.,v1.3,REVIEWED,Devin,26/09/09,G2-BATCH-A
REV-G2-003,G2-BATCH-B,PROJECT,P16-CICP,programme_status,INITIAL_CODE,Devin,26/09/11,1.3-candidate,,,NOT_APPLICABLE,,,Evaluation approach document; not a programme,Devin,RESOLVED,,
REV-G2-004,G2-BATCH-B,PROJECT,P18-GRIMSBY,contracting_role,INITIAL_CODE,Devin,26/09/11,1.3-candidate,,,SUBCONTRACTOR,,,Iain confirmed mapping data contribution; Magna Vitae prime,Iain,RESOLVED,,
REV-G2-005,G2-BATCH-B,PROJECT,P25-LANCGP,programme_status,RECODE,Devin,26/09/11,1.3-candidate,,UNKNOWN,NOT_AWARDED,,,Iain confirmed bid unsuccessful 26/09/11,Iain,RESOLVED,,
REV-G2-006,G2-BATCH-B,PROJECT,P29-SOLENTCGP,programme_status,RECODE,Devin,26/09/11,1.3-candidate,,UNKNOWN,NOT_AWARDED,,,Iain confirmed bid unsuccessful 26/09/11,Iain,RESOLVED,,
REV-G2-007,G2-BATCH-B,PROJECT,P30-HEREFORD,contracting_role,INITIAL_CODE,Devin,26/09/11,1.3-candidate,,,PRIME,,,Iain confirmed lead consultant 26/09/11,Iain,RESOLVED,,
REV-G2-008,G2-BATCH-B,PROJECT,P32-SURREY,contracting_role,INITIAL_CODE,Devin,26/09/11,1.3-candidate,,,PRIME,,,Iain confirmed lead consultant 26/09/11,Iain,RESOLVED,,
REV-G2-009,G2-BATCH-B,CLAIM,C-G2-058,notes,REVIEW_NOTE,Devin,26/09/11,1.3-candidate,,,INTERNAL INCONSISTENCY: 120 vs 160 FTE jobs,,,Source inconsistency flagged; both figures preserved in measurements MEAS-G2-042 and MEAS-G2-043,Devin,OPEN,,
REV-G2-010,G2-BATCH-B,CLAIM,C-G2-075,notes,REVIEW_NOTE,Devin,26/09/11,1.3-candidate,,,DCMS top-down £6.9bn almost certainly overestimate; reconciled to £5.25bn,,,Source explicitly states £6.9bn is overestimate; reconciliation preserves both,Devin,RESOLVED,,
REV-G2-011,G2-BATCH-B,RULE,RULE-G2-001,rule_check,RULE_CHECK,Devin,26/09/11,1.3-candidate,,,PASS,,,All 54 new claims have claim_type assigned; no context mislabelled as effect,Devin,RESOLVED,,
REV-G2-012,G2-BATCH-B,RULE,RULE-G2-002,rule_check,RULE_CHECK,Devin,26/09/11,1.3-candidate,,,PASS,,,All modelled GVA tagged DESCRIPTIVE_ESTIMATE not OBSERVED_AMOUNT; no forecast labelled as realised,Devin,RESOLVED,,
REV-G2-013,G2-BATCH-B,RULE,RULE-G2-003,rule_check,RULE_CHECK,Devin,26/09/11,1.3-candidate,,,PASS,,,All bid-support DESIGN claims tagged with programme_status; Lancashire and Solent correctly NOT_AWARDED,Devin,RESOLVED,,
REV-G2-014,G2-BATCH-B,RULE,RULE-G2-004,rule_check,RULE_CHECK,Devin,26/09/11,1.3-candidate,,,PASS,,,All 54 claims have method_ids linking to registered methods; all 68 measurements link to claims,Devin,RESOLVED,,
REV-G2-015,G2-BATCH-B,RULE,RULE-G2-005,rule_check,RULE_CHECK,Devin,26/09/11,1.3-candidate,,,PASS,,,All 54 evidence links have valid claim_id and source_id foreign keys,Devin,RESOLVED,,
REV-G2-016,G2-BATCH-B,RULE,RULE-G2-006,rule_check,RULE_CHECK,Devin,26/09/11,1.3-candidate,,,PASS,,,No monetary values labelled NON_MONETARY; no costs labelled benefits,Devin,RESOLVED,,
REV-G2-017,G2-BATCH-B,REVIEW,G2-BATCH-B,lens_A,REVIEW_NOTE,Devin,26/09/11,1.3-candidate,,,Lens A (review pass) applied to all 54 claims,,,Claim wording checked for specificity testability and boundedness; modelled estimates distinguished from observed amounts; forecasts distinguished from realised outcomes,Devin,RESOLVED,,
REV-G2-018,G2-BATCH-B,REVIEW,G2-BATCH-B,lens_B,REVIEW_NOTE,Devin,26/09/11,1.3-candidate,,,Lens B (evidence analysis) applied to high-risk claims,,,Testimony provenance checked for Wakefield CoSTAR attribution; causal assumptions documented for employment/GVA growth claims; boundary/distribution checked for cross-sector spillover claims,Devin,RESOLVED,,
REV-G2-QA001,G2-QA,CLAIM,C-G2-029,claim_type,RECODE,Devin,26/09/11,1.3-candidate,EFFECT,EFFECT,CONTEXT,,,QA /wishful+ /skin: ImmerseUK sector list is sector characteristic not spillover effect,Devin,RESOLVED,,
REV-G2-QA002,G2-QA,CLAIM,C-G2-050,claim_type,RECODE,Devin,26/09/11,1.3-candidate,EFFECT,EFFECT,CONTEXT,,,QA /wishful: sector observation about createch adoption not effect of mapping,Devin,RESOLVED,,
REV-G2-QA003,G2-QA,CLAIM,C-G2-068,claim_type,RECODE,Devin,26/09/11,1.3-candidate,EFFECT,EFFECT,CONTEXT,,,QA /wishful+ /skin: Farnborough conversion pre-exists mapping; no evidence of technology translation,Devin,RESOLVED,,
REV-G2-QA004,G2-QA,CLAIM,C-G2-071,claim_type,RECODE,Devin,26/09/11,1.3-candidate,EFFECT,EFFECT,CONTEXT,,,QA /wishful+ /skin: Adlib founded 1984; sector characteristic not spillover; corporate events ≠ cross-sector,Devin,RESOLVED,,
REV-G2-QA005,G2-QA,CLAIM,C-G2-053,claim_type,RECODE,Devin,26/09/11,1.3-candidate,METHOD_OUTPUT,METHOD_OUTPUT,CONTEXT,,,QA /wishful+ /deepthink: source says correlates with not caused by; modelled not causal,Devin,RESOLVED,,
REV-G2-QA006,G2-QA,CLAIM,C-G2-012,claim_type,RECODE,Devin,26/09/11,1.3-candidate,METHOD_OUTPUT,METHOD_OUTPUT,EFFECT,,,QA /thad: CWL programme effect detected by evaluation not Fifth Sector method output; role set to EVALUATOR,Devin,RESOLVED,,
REV-G2-QA007,G2-QA,CLAIM,C-G2-040,fifth_sector_role,RECODE,Devin,26/09/11,1.3-candidate,,,EVALUATOR,,,QA /thad: LFO governance change is programme effect; Fifth Sector was evaluator not deliverer,Devin,RESOLVED,,
REV-G2-QA008,G2-QA,CLAIM,C-G2-054,fifth_sector_role,RECODE,Devin,26/09/11,1.3-candidate,,,EVALUATOR,,,QA /thad: Creative Wakefield network growth is CDF programme effect; Fifth Sector was evaluator,Devin,RESOLVED,,
REV-G2-QA009,G2-QA,CLAIM,C-G2-055,fifth_sector_role,RECODE,Devin,26/09/11,1.3-candidate,,,EVALUATOR,,,QA /thad: XPLOR new products are CDF programme outputs; Fifth Sector was evaluator,Devin,RESOLVED,,
REV-G2-QA010,G2-QA,CLAIM,C-G2-056,fifth_sector_role,RECODE,Devin,26/09/11,1.3-candidate,,,EVALUATOR,,,QA /thad+ /blindspot: CoSTAR alliance is CDF effect; testimony-based; University of York co-partner missing from claim,Devin,RESOLVED,,
REV-G2-QA011,G2-QA,CLAIM,C-G2-057,fifth_sector_role,RECODE,Devin,26/09/11,1.3-candidate,,,EVALUATOR,,,QA /thad: Creative Leadership outcomes are CDF programme effects; Fifth Sector was evaluator,Devin,RESOLVED,,
REV-G2-QA012,G2-QA,CLAIM,C-G2-048,option_state,RECODE,Devin,26/09/11,1.3-candidate,,,EXPIRED,,,QA /blindspot: Lancashire CGP bid unsuccessful — option lapsed,Devin,RESOLVED,,
REV-G2-QA013,G2-QA,CLAIM,C-G2-063,option_state,RECODE,Devin,26/09/11,1.3-candidate,,,EXPIRED,,,QA /blindspot: Solent CGP bid unsuccessful — option lapsed,Devin,RESOLVED,,
REV-G2-QA014,G2-QA,CLAIM,C-G2-041,option_state,RECODE,Devin,26/09/11,1.3-candidate,,,UNKNOWN,,,QA /blindspot: Development Fund pipeline forecasts from 2021 not confirmed as realised,Devin,RESOLVED,,
REV-G2-QA015,G2-QA,REVIEW,G2-QA,lens_wishful,REVIEW_NOTE,Devin,26/09/11,1.3-candidate,,,APPLIED,,,QA /wishful applied to all 54 G2 claims; 4 sector characteristics mislabelled as EFFECT found and fixed; 1 context mislabelled as METHOD_OUTPUT found and fixed; 5 programme effects with missing evaluator role found and fixed,Devin,RESOLVED,,
REV-G2-QA016,G2-QA,REVIEW,G2-QA,lens_skin,REVIEW_NOTE,Devin,26/09/11,1.3-candidate,,,APPLIED,,,QA /skin applied to all EFFECT claims; 4 claims with vague or overstated propositions flagged and reclassified,Devin,RESOLVED,,
REV-G2-QA017,G2-QA,REVIEW,G2-QA,lens_thad,REVIEW_NOTE,Devin,26/09/11,1.3-candidate,,,APPLIED,,,QA /thad applied to all EFFECT claims; 5 programme effects missing evaluator role; 1 programme effect mislabelled as METHOD_OUTPUT; testimony-based attribution flagged for CoSTAR,Devin,RESOLVED,,
REV-G2-QA018,G2-QA,REVIEW,G2-QA,lens_deepthink,REVIEW_NOTE,Devin,26/09/11,1.3-candidate,,,APPLIED,,,QA /deepthink applied; Wakefield jobs inconsistency preserved; LCR Music Base vs Integrated case gap noted; Solent GVA reconciliation assumptions flagged; SYMCA £2bn upper bound flagged,Devin,RESOLVED,,
REV-G2-QA019,G2-QA,REVIEW,G2-QA,lens_blindspot,REVIEW_NOTE,Devin,26/09/11,1.3-candidate,,,APPLIED,,,QA /blindspot applied; 2 expired options for unsuccessful bids set; 1 unknown option state set; University of York co-partner missing from CoSTAR claim; non-adopters and displacement not recorded; LCR Music SNA null finding (0.6% connections) preserved,Devin,RESOLVED,,
REV-G2-QA020,G2-QA,CLAIM,C-G2-012,fifth_sector_role,RECODE,Devin,26/09/11,1.3-candidate,EVALUATOR,EVALUATOR,ADVISOR;INTERPRETER,,,SPOT-CHECK CORRECTION: BOP was evaluator not Fifth Sector; Iain was advisor/interpreter within BOP; source line 11 confirms BOP conducted evaluation,Devin,RESOLVED,,
REV-G2-QA021,G2-QA,CLAIM,C-G2-031,option_state,RECODE,Devin,26/09/11,1.3-candidate,,,PROPOSED,,,SPOT-CHECK: empty option_state for OPTION claim; set to PROPOSED,Devin,RESOLVED,,
REV-G2-QA022,G2-QA,CLAIM,C-G2-042,option_state,RECODE,Devin,26/09/11,1.3-candidate,,,PROPOSED,,,SPOT-CHECK: empty option_state for OPTION claim; set to PROPOSED,Devin,RESOLVED,,
REV-G2-QA023,G2-QA,CLAIM,C-G2-046,option_state,RECODE,Devin,26/09/11,1.3-candidate,,,PROPOSED,,,SPOT-CHECK: empty option_state for OPTION claim; set to PROPOSED,Devin,RESOLVED,,
REV-G2-QA024,G2-QA,CLAIM,C-G2-065,option_state,RECODE,Devin,26/09/11,1.3-candidate,,,PROPOSED,,,SPOT-CHECK: empty option_state for OPTION claim; set to PROPOSED,Devin,RESOLVED,,
REV-G2-QA025,G2-QA,CLAIM,C-G2-069,option_state,RECODE,Devin,26/09/11,1.3-candidate,,,PROPOSED,,,SPOT-CHECK: empty option_state for OPTION claim; set to PROPOSED,Devin,RESOLVED,,
REV-G2-QA026,G2-QA,CLAIM,C-G2-073,option_state,RECODE,Devin,26/09/11,1.3-candidate,,,PROPOSED,,,SPOT-CHECK: empty option_state for OPTION claim; set to PROPOSED,Devin,RESOLVED,,
REV-G2-QA027,G2-QA,CLAIM,C-G2-074,option_state,RECODE,Devin,26/09/11,1.3-candidate,,,PROPOSED,,,SPOT-CHECK: empty option_state for OPTION claim; set to PROPOSED,Devin,RESOLVED,,
REV-G2-QA028,G2-QA,REVIEW,G2-QA-SPOTCHECK,spot_check,REVIEW_NOTE,Devin,26/09/11,1.3-candidate,,,COMPLETED,,,Spot-check of 14 QA fixes completed; 1 correction (C-G2-012 role reverted to ADVISOR;INTERPRETER); 7 additional empty option_state fields fixed; all fixes verified against source documents,Devin,RESOLVED,,
REV-G2-QA029,G2-QA,CLAIM,C-G2-011,fifth_sector_role,RECODE,Devin,26/09/11,1.3-candidate,ADVISOR;INTERPRETER,ADVISOR;INTERPRETER,EVALUATOR,,,SPOT-CHECK: Iain led evaluation as BOP Associate Director; role corrected; contracting_role set to ASSOCIATE,Devin,RESOLVED,,
REV-G2-QA030,G2-QA,CLAIM,C-G2-013,fifth_sector_role,RECODE,Devin,26/09/11,1.3-candidate,ADVISOR;INTERPRETER,ADVISOR;INTERPRETER,EVALUATOR,,,SPOT-CHECK: Iain led evaluation as BOP Associate Director; role corrected; contracting_role set to ASSOCIATE,Devin,RESOLVED,,
REV-G2-QA031,G2-QA,CLAIM,C-G2-014,fifth_sector_role,RECODE,Devin,26/09/11,1.3-candidate,ADVISOR;INTERPRETER,ADVISOR;INTERPRETER,EVALUATOR,,,SPOT-CHECK: Iain led evaluation as BOP Associate Director; role corrected; contracting_role set to ASSOCIATE,Devin,RESOLVED,,
REV-G2-QA032,G2-QA,PROJECT,P13-CWL,fifth_sector_role,RECODE,Devin,26/09/11,1.3-candidate,ADVISOR;INTERPRETER,ADVISOR;INTERPRETER,EVALUATOR,,,SPOT-CHECK: Iain led Creativeworks London evaluation as BOP Associate Director; project role corrected; contracting_role set to ASSOCIATE,Devin,RESOLVED,,
REV-G2-QA033,G2-QA,CLAIM,C-G2-001,claim_type,RECODE,Devin,26/09/11,1.3-candidate,METHOD_OUTPUT,METHOD_OUTPUT,CONTEXT,,,QA /wishful+ /deepthink: sector baseline measurement not method output; codebook rule,Devin,RESOLVED,,
REV-G2-QA034,G2-QA,CLAIM,C-G2-002,claim_type,RECODE,Devin,26/09/11,1.3-candidate,METHOD_OUTPUT,METHOD_OUTPUT,CONTEXT,,,QA /wishful+ /deepthink: sector baseline measurement not method output; also 22% London employment unverified,Devin,RESOLVED,,
REV-G2-QA035,G2-QA,CLAIM,C-G2-007,claim_type,RECODE,Devin,26/09/11,1.3-candidate,METHOD_OUTPUT,METHOD_OUTPUT,CONTEXT,,,QA: Hackney LQ is sector characteristic not method output,Devin,RESOLVED,,
REV-G2-QA036,G2-QA,CLAIM,C-G2-009,claim_type,RECODE,Devin,26/09/11,1.3-candidate,METHOD_OUTPUT,METHOD_OUTPUT,CONTEXT,,,QA: Kirklees employment baseline is sector characteristic,Devin,RESOLVED,,
REV-G2-QA037,G2-QA,CLAIM,C-G2-010,claim_type,RECODE,Devin,26/09/11,1.3-candidate,METHOD_OUTPUT,METHOD_OUTPUT,CONTEXT,,,QA: Kirklees GVA baseline is sector characteristic,Devin,RESOLVED,,
REV-G2-QA038,G2-QA,CLAIM,C-G2-015,claim_type,RECODE,Devin,26/09/11,1.3-candidate,METHOD_OUTPUT,METHOD_OUTPUT,CONTEXT,,,QA: UK immersive company count is sector characteristic,Devin,RESOLVED,,
REV-G2-QA039,G2-QA,CLAIM,C-G2-018,claim_type,RECODE,Devin,26/09/11,1.3-candidate,METHOD_OUTPUT,METHOD_OUTPUT,CONTEXT,,,QA: HVMC cluster access is sector characteristic,Devin,RESOLVED,,
REV-G2-QA040,G2-QA,CLAIM,C-G2-019,claim_type,RECODE,Devin,26/09/11,1.3-candidate,METHOD_OUTPUT,METHOD_OUTPUT,CONTEXT,,,QA: Liverpool music turnover is sector baseline,Devin,RESOLVED,,
REV-G2-QA041,G2-QA,CLAIM,C-G2-020,claim_type,RECODE,Devin,26/09/11,1.3-candidate,METHOD_OUTPUT,METHOD_OUTPUT,CONTEXT,,,QA: Beatles heritage £98m is sector baseline,Devin,RESOLVED,,
REV-G2-QA042,G2-QA,CLAIM,C-G2-021,claim_type,RECODE,Devin,26/09/11,1.3-candidate,METHOD_OUTPUT,METHOD_OUTPUT,CONTEXT,,,QA: Adlib sector strength is sector characteristic,Devin,RESOLVED,,
REV-G2-QA043,G2-QA,CLAIM,C-G2-025,claim_type,RECODE,Devin,26/09/11,1.3-candidate,METHOD_OUTPUT,METHOD_OUTPUT,CONTEXT,,,QA: LCR employment growth is sector baseline,Devin,RESOLVED,,
REV-G2-QA044,G2-QA,CLAIM,C-G2-028,claim_type,RECODE,Devin,26/09/11,1.3-candidate,METHOD_OUTPUT,METHOD_OUTPUT,CONTEXT,,,QA: LCR immersive ecosystem count is sector baseline,Devin,RESOLVED,,
REV-G2-QA045,G2-QA,CLAIM,C-G2-030,claim_type,RECODE,Devin,26/09/11,1.3-candidate,METHOD_OUTPUT,METHOD_OUTPUT,CONTEXT,,,QA: LCR Meetup ecosystem is sector characteristic,Devin,RESOLVED,,
REV-G2-QA046,G2-QA,CLAIM,C-G2-032,claim_type,RECODE,Devin,26/09/11,1.3-candidate,METHOD_OUTPUT,METHOD_OUTPUT,CONTEXT,,,QA: SYMCA company count is sector baseline,Devin,RESOLVED,,
REV-G2-QA047,G2-QA,CLAIM,C-G2-043,claim_type,RECODE,Devin,26/09/11,1.3-candidate,METHOD_OUTPUT,METHOD_OUTPUT,CONTEXT,,,QA: SYMCA GVA estimate is sector baseline,Devin,RESOLVED,,
REV-G2-QA048,G2-QA,CLAIM,C-G2-044,claim_type,RECODE,Devin,26/09/11,1.3-candidate,METHOD_OUTPUT,METHOD_OUTPUT,CONTEXT,,,QA: multiplier is contextual finding not method output,Devin,RESOLVED,,
REV-G2-QA049,G2-QA,CLAIM,C-G2-045,claim_type,RECODE,Devin,26/09/11,1.3-candidate,METHOD_OUTPUT,METHOD_OUTPUT,CONTEXT,,,QA: course count is sector baseline,Devin,RESOLVED,,
REV-G2-QA050,G2-QA,CLAIM,C-G2-047,claim_type,RECODE,Devin,26/09/11,1.3-candidate,METHOD_OUTPUT,METHOD_OUTPUT,CONTEXT,,,QA: Lancashire business count is sector baseline,Devin,RESOLVED,,
REV-G2-QA051,G2-QA,CLAIM,C-G2-049,claim_type,RECODE,Devin,26/09/11,1.3-candidate,METHOD_OUTPUT,METHOD_OUTPUT,CONTEXT,,,QA: WSBH company count is sector baseline,Devin,RESOLVED,,
REV-G2-QA052,G2-QA,CLAIM,C-G2-059,claim_type,RECODE,Devin,26/09/11,1.3-candidate,METHOD_OUTPUT,METHOD_OUTPUT,CONTEXT,,,QA: Calderdale firm count is sector baseline,Devin,RESOLVED,,
REV-G2-QA053,G2-QA,CLAIM,C-G2-062,claim_type,RECODE,Devin,26/09/11,1.3-candidate,METHOD_OUTPUT,METHOD_OUTPUT,CONTEXT,,,QA: Solent business count is sector baseline,Devin,RESOLVED,,
REV-G2-QA054,G2-QA,CLAIM,C-G2-064,claim_type,RECODE,Devin,26/09/11,1.3-candidate,METHOD_OUTPUT,METHOD_OUTPUT,CONTEXT,,,QA: Hereford business count is sector baseline,Devin,RESOLVED,,
REV-G2-QA055,G2-QA,CLAIM,C-G2-066,claim_type,RECODE,Devin,26/09/11,1.3-candidate,METHOD_OUTPUT,METHOD_OUTPUT,CONTEXT,,,QA: Production Park data fragment is sector baseline,Devin,RESOLVED,,
REV-G2-QA056,G2-QA,CLAIM,C-G2-067,claim_type,RECODE,Devin,26/09/11,1.3-candidate,METHOD_OUTPUT,METHOD_OUTPUT,CONTEXT,,,QA: Surrey+ £7.2bn is sector baseline,Devin,RESOLVED,,
REV-G2-QA057,G2-QA,CLAIM,C-G2-070,claim_type,RECODE,Devin,26/09/11,1.3-candidate,METHOD_OUTPUT,METHOD_OUTPUT,CONTEXT,,,QA: LCR Music GVA is sector baseline,Devin,RESOLVED,,
REV-G2-QA058,G2-QA,CLAIM,C-G2-075,claim_type,RECODE,Devin,26/09/11,1.3-candidate,METHOD_OUTPUT,METHOD_OUTPUT,CONTEXT,,,QA: Solent/Hampshire GVA is sector baseline,Devin,RESOLVED,,
REV-G2-QA059,G2-QA,REVIEW,G2-QA-PASS2,systematic_check,REVIEW_NOTE,Devin,26/09/11,1.3-candidate,,,COMPLETED,,,"Systematic spot-check found 26 baseline measurement claims mislabelled as METHOD_OUTPUT; all reclassified to CONTEXT per codebook rule: 'A mapping report estimating regional GVA is CONTEXT with a descriptive estimate, not value created by the consultant'; same pattern found in R3 pilot claims — flagged for next pass",Devin,RESOLVED,,
REV-G2-QA060,G2-QA,CLAIM,C-R3-001,claim_type,RECODE,Devin,26/09/11,1.3-candidate,METHOD_OUTPUT,METHOD_OUTPUT,CONTEXT,,,QA: NE Scotland GVA is sector baseline not method output,Devin,RESOLVED,,
REV-G2-QA061,G2-QA,CLAIM,C-R3-002,claim_type,RECODE,Devin,26/09/11,1.3-candidate,METHOD_OUTPUT,METHOD_OUTPUT,CONTEXT,,,QA: NE Scotland workforce is sector baseline,Devin,RESOLVED,,
REV-G2-QA062,G2-QA,CLAIM,C-R3-014,claim_type,RECODE,Devin,26/09/11,1.3-candidate,METHOD_OUTPUT,METHOD_OUTPUT,CONTEXT,,,QA: GBSLEP creative economy mapped is descriptive,Devin,RESOLVED,,
