source_id,project_id,title,document_type,author_owner,date_version,controlled_location,page_section_locator,access_restrictions,extraction_quality,independence,source_family_id,notes,additional_project_ids,opportunity_ids,original_location,derived_location,authority_status,authority_rationale,source_review_state,extraction_tool_version,extraction_scope,extraction_warnings,original_locator,reviewer,review_date,codebook_version,review_batch
SRC-G2-016,P21-MMUCCI,Man Met CCI report v2,report,The Fifth Sector,22/10/14,canonical/P21-MMUCCI/221014 Man Met CCI report v2.docx,full report,internal_only,COMPLETE,primary,MMUCCI-FAM,521 paras; Fifth Sector lead (www.thefifthsector.co.uk line 24); stakeholder interviews Mar-22/08; desk research; benchmarking; REF 2021; network gap findings,Archive projects/2021 Projects/2021 MMU CCI/Reporting/221014 Man Met CCI report v2.docx,extracted_text/SRC-G2-016_v1_full.txt,CANONICAL,Fifth Sector lead consultant,REVIEWED,python-docx,full,headers/footers not captured,original DOCX,Devin,26/09/11,1.3-candidate,G2-BATCH-B,,
SRC-G2-017,P22-LCRFILM,Liverpool Production Fund Interim Evaluation draft report,evaluation_report,Iain Bennett / The Fifth Sector,21/02/04,canonical/P22-LCRFILM/210204 Liverpool Production Fund Interim Evaluation draft report.docx,full evaluation,internal_only,COMPLETE,primary,LCRFILM-FAM,232 paras 5 tables; Iain Bennett of The Fifth Sector for Liverpool Film Office (lines 225-231); £6.76 leverage; 455 indirect FTE; Development Fund 7 pipeline projects; recoupment projections are estimates; richest documented output data,Archive projects/2020 Projects/2020 Liverpool Film Fund evaluation/Reporting/210204 Liverpool Production Fund Interim Evaluation draft report.docx,extracted_text/SRC-G2-017_v1_full.txt,CANONICAL,Interim evaluation; Fifth Sector prime,REVIEWED,python-docx,full,5 tables; headers/footers not captured,original DOCX,Devin,26/09/11,1.3-candidate,G2-BATCH-B,,
SRC-G2-018,P23-DERBY,Derby(s) Film Office feasibility study,feasibility_study,The Fifth Sector,22/08/09,canonical/P23-DERBY/220809 Derby(s) Film Office feasibility study.pdf,full study,internal_only,COMPLETE,primary,DERBY-FAM,27 pages; Fifth Sector lead consultant; survey n=17; Liverpool Film Office comparator; no local baseline; 2 FTE start-up design proposition,Archive projects/2022 Projects/2022 Derby Screen Agency/220809 Derby(s) Film Office feasibility study.pdf,extracted_text/SRC-G2-018_v1_full.txt,CANONICAL,Feasibility study; Fifth Sector prime,REVIEWED,PyPDF2,full,27 pages; images/tables not captured,original PDF,Devin,26/09/11,1.3-candidate,G2-BATCH-B,,
SRC-G2-019,P24-SYMCACGP,SYMCA Cultural and Creative Industries final report,report,The Fifth Sector,22,canonical/P24-SYMCACGP/SYMCA Cultural and Creative Industries final report.docx,full report,internal_only,COMPLETE,primary,SYMCACGP-FAM,370 paras 4 tables; Fifth Sector lead with Curator Technologies; 4025 companies 31000 workforce; GVA up to £2bn; creative growth paradox; 1013 courses; extends P20-SYMCA21,Archive projects/2022 Projects/2022 SYMCA Create Growth/2022 SYMCA CGP Reporting/SYMCA Cultural and Creative Industries final report.docx,extracted_text/SRC-G2-019_v1_full.txt,CANONICAL,Fifth Sector lead consultant,REVIEWED,python-docx,full,4 tables; headers/footers not captured,original DOCX,Devin,26/09/11,1.3-candidate,G2-BATCH-B,,
SRC-G2-020,P25-LANCGP,Lancashire Create Growth Programme FINAL,grant_application,Lancashire LEP / Fifth Sector data,22/09,canonical/P25-LANCGP/Lancashire Create Growth Programme FINAL.pdf,full application,internal_only,COMPLETE,primary,LANCGP-FAM,42 pages; Fifth Sector cited as data source (lines 197 1427 1430); grant application not outcome report; 4500 businesses 36000 jobs; 4 hubs; £1.275m budget; Pennine Originals spillover into aerospace/automotive,Archive projects/2022 Projects/2022 Lancashire Create Growth/Lancashire Create Growth Programme FINAL.pdf,extracted_text/SRC-G2-020_v1_full.txt,CANONICAL,Grant application; Fifth Sector data contributor,REVIEWED,PyPDF2,full,42 pages; images/tables not captured,original PDF,Devin,26/09/11,1.3-candidate,G2-BATCH-B,,
SRC-G2-021,P26-WSBH,West Sussex Brighton Hove Lewes CI v2,strategy,The Fifth Sector,23/04/21,canonical/P26-WSBH/230421 West Sussex Brighton Hove Lewes CI v2.docx,full strategy,internal_only,COMPLETE,primary,WSBH-FAM,607 paras 6 tables; Fifth Sector lead with Curator Technologies and Morra; 10225 companies 54428 workforce; BRES 2021; Createch; Digital Catapult Brighton; FuseBox24; 3-phase investment plan,Archive projects/2022 Projects/2022 West Sussex Brighton Hove Lewes/2022 West Sussex Reporting/230421 West Sussex Brighton Hove Lewes CI v2.docx,extracted_text/SRC-G2-021_v1_full.txt,CANONICAL,Fifth Sector lead consultant,REVIEWED,python-docx,full,6 tables; headers/footers not captured,original DOCX,Devin,26/09/11,1.3-candidate,G2-BATCH-B,,
SRC-G2-022,P27-WAKECDF,CDF Evaluation FINAL,evaluation_report,Iain Bennett / Steve Hunt / The Fifth Sector,25/09/29,OneDrive-TheFifthSector/Documents - The Fifth Sector/Archive projects/2025 Projects/2022 Wakefield CDF - Local Programme Evaluation/2024 CDF2 Reporting/250929 CDF Evaluation FINAL.docx,full evaluation,internal_only,COMPLETE,primary,WAKECDF-FAM,556 paras 14 tables; Iain Bennett and Steve Hunt for Wakefield Council (line 11); £4.38m CDF £22.03m total; CCI employment +32%; GVA +79%; Creative Wakefield +458%; CoSTAR secured; 10 new-to-market products; INTERNAL INCONSISTENCY: 120 vs 160 FTE,Archive projects/2025 Projects/2022 Wakefield CDF - Local Programme Evaluation/2024 CDF2 Reporting/250929 CDF Evaluation FINAL.docx,extracted_text/SRC-G2-022_v1_full.txt,CANONICAL,extracted_text/SRC-G2-022_v1_full.txt,REVIEWED,python-docx,full,14 tables; headers/footers not captured,full,Devin,26/09/11,1.3-candidate,G2-BATCH-B,,
SRC-G2-023,P28-CALDER,Calderdale CCI report final,report,The Fifth Sector,23/12/19,canonical/P28-CALDER/231219 Calderdale CCI report final.docx,full report,internal_only,COMPLETE,primary,CALDER-FAM,639 paras 18 tables; Produced by The Fifth Sector Limited (line 9); 655 ONS firms 880 Beauhurst; 2360 BRES; 7375 LinkedIn; music deep dive; Screen Yorkshire; Cultural Compact proposed,Archive projects/2023 Projects/2023 Calderdale/2023 Calderdale reporting/231219 Calderdale CCI report final.docx,extracted_text/SRC-G2-023_v1_full.txt,CANONICAL,Fifth Sector prime,REVIEWED,python-docx,full,18 tables; headers/footers not captured,original DOCX,Devin,26/09/11,1.3-candidate,G2-BATCH-B,,
SRC-G2-024,P29-SOLENTCGP,CGP Expansion FullApplication Form_Solent_DRAFT,grant_application_draft,Solent LEP / The Fifth Sector,23,canonical/P29-SOLENTCGP/CGP Expansion FullApplication Form_Solent_DRAFT.docx,full draft application,internal_only,COMPLETE,primary,SOLENTCGP-FAM,59 paras 6 tables; Fifth Sector appointed for market awareness research (line 191); DRAFT application; 4510 businesses 40000 jobs £1.5bn GVA; Createch maritime/aerospace spillovers; Solent Creative Investment Framework,Archive projects/2023 Projects/2023 Solent CGP/2023 Solent CGP Proposal/CGP Expansion FullApplication Form_Solent_DRAFT.docx,extracted_text/SRC-G2-024_v1_full.txt,DRAFT,Draft application; Fifth Sector data contributor,REVIEWED,python-docx,full,6 tables; headers/footers not captured,original DOCX,Devin,26/09/11,1.3-candidate,G2-BATCH-B,,
SRC-G2-025,P30-HEREFORD,Herefordshire Culture Strategy Review,strategy_review,The Fifth Sector,24/06/17,canonical/P30-HEREFORD/260617 Herefordshire Culture Strategy Review.docx,full review,internal_only,COMPLETE,primary,HEREFORD-FAM,225 paras; Iain confirmed lead consultant 26/09/11; 590 official businesses 4000+ LinkedIn; 100 courses; 56% graduate leakage; rural creative economy; fragmented ecosystem; cultural compact proposed,Archive projects/2024 Projects/2024 Herefordshire/2024 Herefordshire reporting/260617 Herefordshire Culture Strategy Review.docx,extracted_text/SRC-G2-025_v1_full.txt,CANONICAL,Fifth Sector lead consultant confirmed by Iain,REVIEWED,python-docx,full,headers/footers not captured,original DOCX,Devin,26/09/11,1.3-candidate,G2-BATCH-B,,
SRC-G2-026,P31-PRODPARK,Production Park GVA data,data_fragment,The Fifth Sector,24/07/19,canonical/P31-PRODPARK/240719 Production Park GVA data.docx,data table only,internal_only,COMPLETE,primary,PRODPARK-FAM,11 paras 1 table; data fragment only; LinkedIn codes mapped to BRES SIC07; BRES 2022 columns empty; no narrative; no spillover evidence; supplements P27-WAKECDF,Archive projects/2024 Projects/2024 Production Park GVA/240719 Production Park GVA data.docx,extracted_text/SRC-G2-026_v1_full.txt,SUPPLEMENTARY,Data fragment; incomplete; supplements Wakefield CDF,REVIEWED,python-docx,full,1 table; BRES columns empty,original DOCX,Devin,26/09/11,1.3-candidate,G2-BATCH-B,,
SRC-G2-027,P32-SURREY,Human Rewrite IB CLEAN,strategy,The Fifth Sector,25/08/18,canonical/P32-SURREY/250818 Human Rewrite IB CLEAN.docx,full strategy,internal_only,COMPLETE,primary,SURREY-FAM,212 paras; Iain confirmed lead consultant 26/09/11; £7.2bn annual value; 17000 companies; 115000 workforce; 12% growth; 43% freelance; aerospace-to-screen spillover; CoSTAR/Games Innovation Zone; £3-4m investment ask,Archive projects/2024 Projects/2024 Surrey+ Corridor/2025 Surrey+ Reporting/250818 Human Rewrite IB CLEAN.docx,extracted_text/SRC-G2-027_v1_full.txt,CANONICAL,Fifth Sector lead consultant confirmed by Iain,REVIEWED,python-docx,full,headers/footers not captured,original DOCX,Devin,26/09/11,1.3-candidate,G2-BATCH-B,,
SRC-G2-028,P33-LCRMUS,LCR_Music_Economy_Final_Report,report,The Fifth Sector / Unscrambled.world / University of Liverpool IPM,26/02/22,canonical/P33-LCRMUS/260222 LCR_Music_Economy_Final_Report.docx,full report,internal_only,COMPLETE,primary,LCRMUS-FAM,650 paras 38 tables; Fifth Sector/Unscrambled with UoL IPM (lines 13-15); four-tier workforce model; 14370 headcount 7215 FTE; £405.9m direct GVA £779.8m total; SNA of 272 businesses; 335 businesses 621 venues; Adlib cross-sector; £1bn by 2035 target,Archive projects/2025 Projects/2025 Liverpool Music/2025 Liverpool Music reporting/260222 LCR_Music_Economy_Final_Report.docx,extracted_text/SRC-G2-028_v1_full.txt,CANONICAL,Fifth Sector prime with Unscrambled and UoL IPM,REVIEWED,python-docx,full,38 tables; headers/footers not captured,original DOCX,Devin,26/09/11,1.3-candidate,G2-BATCH-B,,
SRC-G2-029,P34-SOLENTHANTS,Solent and Hampshire CA CI Mapping,report,The Fifth Sector / Unscrambled,25/07/18,canonical/P34-SOLENTHANTS/250718 Solent and Hampshire CA CI Mapping.docx,full report,internal_only,COMPLETE,primary,SOLENTHANTS-FAM,354 paras 11 tables; Prepared by The Fifth Sector Limited (line 7); £5.25bn GVA reconciled; 39980 BRES 80511 LinkedIn; 7530 IDBR 11420 DataCity; HDBSCAN clustering; 31% IT contraction; freelancers as knowledge transfer agents,Archive projects/2025 Projects/2025 Solent and Hampshire CI/2025 Solent and Hants Reporting/250718 Solent and Hampshire CA CI Mapping.docx,extracted_text/SRC-G2-029_v1_full.txt,CANONICAL,Fifth Sector prime with Unscrambled,REVIEWED,python-docx,full,11 tables; headers/footers not captured,original DOCX,Devin,26/09/11,1.3-candidate,G2-BATCH-B,,
SRC-G2-030,P22-LCRFILM,Liverpool City Region Production Fund Evaluation Report (Final),evaluation_report,,25/06/09,Archive projects/2025 Projects/2024 Liverpool Production Fund/2024 LPF Reporting/250609 Liverpool City Region Production Fund Evaluation.docx,,,COMPLETE,,,Final evaluation of LCR Production Fund; prepared by Iain Bennett and Lynne McCadden The Fifth Sector 25/06; 711 paragraphs; covers 2020-2024; key comparison with 2021 interim: leverage 6.76:1 to 8.69:1; FTE 455 to 859; investment £1.78m to £2.82m; LCR spend £6.73m to £24.5m; Development Fund treated as COVID emergency support not option value; 7.8:1 forecast not confirmed; extract at extracted_text/SRC-LPF-FINAL_v1_full.txt,,,,extracted_text/SRC-G2-030_v1_full.txt,CANONICAL,,REVIEWED,,full,711 paragraphs; full read confirmed; DOCX also available,,Devin,26/09/12,1.3-candidate,G2-BATCH-B
SRC-G2-031,P37,Suffolk CC Renewable Energy Programme Business Case v1.0,business_case,,21/12/21,Archive projects/2020 Projects/2020 Proving Services Suffolk/Reporting/201221 Suffolk CC Renewable Programme Business Case v1.0.docx,,,COMPLETE,,,Programme business case for SCC renewable energy; net zero by 2030; PV site analysis; OBC/SOC; prepared by ADEPT/CBN for Suffolk CC,,,,extracted_text/P37-suffolk-buscase_v1.txt,CANONICAL,,REVIEWED,,full,,,Devin,26/09/12,1.3-candidate,G2-BATCH-C
SRC-G2-032,P37,SCC Narrative Report v1,report,,20/07/17,Archive projects/2020 Projects/2020 Proving Services Suffolk/SCC narrative_report (v1_client).docx,,,COMPLETE,,,Initial narrative report for Suffolk CC,,,,extracted_text/P37-suffolk-narrative_v1.txt,SUPPORTING,,REVIEWED,,full,,,Devin,26/09/12,1.3-candidate,G2-BATCH-C
SRC-G2-033,P43,BAC + LIVR Project Evaluation Final Report,evaluation_report,,21/08,Archive projects/2021 Projects/2021 BAC + LIVR/2108 LIVR BAC project evaluation.docx,,,COMPLETE,,,Evaluation of BAC/LIVR XR arts project; project failed after 3 of 5 productions; process evaluation of why project failed; ACE funded £75k,,,,extracted_text/P43-bac-livr-eval_v1.txt,CANONICAL,,REVIEWED,,full,,,Devin,26/09/12,1.3-candidate,G2-BATCH-C
SRC-G2-034,P45,Lancashire Digital Strategy Final,strategy,,22/05/29,Archive projects/2021 Projects/2021 Lancashire Digital Strategy/220529 LancashireDigitalStrategy_final.docx,,,COMPLETE,,,Digital sector strategy for Lancashire; £1bn+ ICT GVA; e-commerce and creative tech £1.3bn; 28% growth over 5 years; workforce data; action plans,,,,extracted_text/P45-lancashire-digital-strategy_v1.txt,CANONICAL,,REVIEWED,,full,,,Devin,26/09/12,1.3-candidate,G2-BATCH-C
SRC-G2-035,P45,Lancashire Digital Economy Report 2021 Draft,research_report,,21/01,Archive projects/2021 Projects/2021 Lancashire Digital Strategy/2021 Digital Economy Report DRAFT V1 - Copy.pdf,,,SUPPORTING,,,Background digital economy report feeding into strategy  Background digital economy report; content covered in SRC-G2-034 strategy,,,,extracted_text/SRC-G2-035_v1_full.txt,SUPPORTING,,NOT_ASSESSED,,full,,,,,1.3-candidate,G2-BATCH-C
SRC-G2-036,P46,TVCA Creative Industries Sustainable Sector Growth Framework Baseline,baseline_report,,21/12,Archive projects/2021 Projects/2021 TVCA/2112 TVCA Creative Economy Baseline final draft.docx,,,COMPLETE,,,CCI baseline for Tees Valley; creative workforce; assets and clusters; productivity; screen industries; music; visual arts; performing arts; 303990 chars — substantial report,,,,extracted_text/P46-tvca-baseline_v1.txt,CANONICAL,,REVIEWED,,full,303990 chars; substantial report; full read confirmed,,Devin,26/09/12,1.3-candidate,G2-BATCH-C
SRC-G2-037,P46,TVCA Screen Industries Sector Growth Plan,strategy,,21/10/22,Archive projects/2021 Projects/2021 TVCA/211022 SCREEN INDUSTRIES SECTOR GROWTH PLAN_TVCA for CISSG.docx,,,SUPPORTING,,,Screen industries growth plan for Tees Valley  Screen industries growth plan; content covered in TVCA baseline,,,,,SUPPORTING,,NOT_ASSESSED,,,,,,,1.3-candidate,G2-BATCH-C
SRC-G2-038,P46,TVCA Capital Investment Leverage Framework,strategy,,21/10/25,Archive projects/2021 Projects/2021 TVCA/211025 TVCA Capital Investment Leverage Framework draft.docx,,,SUPPORTING,,,Capital investment leverage framework for TVCA creative sector  Capital investment leverage framework; content covered in TVCA baseline,,,,,SUPPORTING,,NOT_ASSESSED,,,,,,,1.3-candidate,G2-BATCH-C
SRC-G2-039,P47,WMGC Tech and Creative Pitch Books (multiple versions),deliverable,,20/04,Archive projects/2021 Projects/2021 WMGC Pitch Books/Reporting/WMGCDigital&CreativeVs2a.pptx,,,SUPPORTING,,,Multiple pitch book versions for West Midlands Growth Company; tech and creative sector narratives; interview transcripts; wireframes  Multiple pitch book versions; not separately extracted,,,,extracted_text/SRC-G2-039_v1_full.txt,CANONICAL,,NOT_ASSESSED,,full,,,,,1.3-candidate,G2-BATCH-C
SRC-G2-040,P47,WMGC Pitch Book Proposal and Tender Brief,proposal,,21/02/05,Archive projects/2021 Projects/2021 WMGC Pitch Books/Proposal/Full tender brief 2020 - WMGC - 05022021.docx,,,SUPPORTING,,,Tender brief and proposal for WMGC pitch books commission  Tender brief; not separately extracted,,,,extracted_text/SRC-G2-040_v1_full.txt,SUPPORTING,,NOT_ASSESSED,,full,,,,,1.3-candidate,G2-BATCH-C
SRC-G2-041,P48,Creative Wakefield Skills Pathways Final Report,research_report,,21/07/08,Archive projects/2021 Projects/2021 Wakefield Creative Skills Development/Reporting/210708 CreativeWakefieldSkillsPathways.docx,,,COMPLETE,,,Creative skills pathways research for Wakefield Council; provision audit; provider survey; employer consultation; BRES data; Tableau; 92102 chars — substantial report,,,,extracted_text/P48-wakefield-skills_v1.txt,CANONICAL,,REVIEWED,,full,92102 chars; substantial report; full read confirmed,,Devin,26/09/12,1.3-candidate,G2-BATCH-C
SRC-G2-042,P50,UKRI Liverpool Creative and Digital Industries Briefing,briefing,,21/12/13,Archive projects/2021 Projects/2021 UKRI/211213 UKRI Liverpool visit.docx,,,COMPLETE,,,UKRI visit briefing; LCR creative/digital SWOT; Beauhurst analysis of 68 tracked companies; games/advertising/film strengths; collaborative innovation models,,,,extracted_text/P50-ukri-liverpool_v1.txt,CANONICAL,,REVIEWED,,full,,,Devin,26/09/12,1.3-candidate,G2-BATCH-C
SRC-G2-043,P50,CoSTAR Market Engagement Event Slides,presentation,,21/12,Archive projects/2021 Projects/2021 UKRI/CoSTAR Market Engagement Event Slides vLIVE.pdf,,,SUPPORTING,,,CoSTAR market engagement slides from UKRI Liverpool visit  CoSTAR market engagement slides; PDF not separately extracted,,,,,SUPPORTING,,NOT_ASSESSED,,,,,,,1.3-candidate,G2-BATCH-C
SRC-G2-044,P51,South Yorkshire ARG Evaluation Final Report,evaluation_report,,24/04/05,Archive projects/2022 Projects/2022 SYMCA ARG Evaluation/2022 SYMCA ARG report/240405 South Yorkshire ARG evaluation final report.docx,,,COMPLETE,,,ARG evaluation for SYMCA; Mayors Fund; Barnsley/Doncaster; impact framework; Companies House summary; 35300 chars,,,,extracted_text/P51-symca-arg-final_v1.txt,CANONICAL,,REVIEWED,,full,35300 chars; full read confirmed,,Devin,26/09/12,1.3-candidate,G2-BATCH-C
SRC-G2-045,P51,SYMCA Impact Framework Summary,framework,,22/10/19,Archive projects/2022 Projects/2022 SYMCA ARG Evaluation/Impact Framework/221019 SYMCA impact framework summary.docx,,,SUPPORTING,,,Impact framework for SYMCA ARG evaluation  Impact framework summary; content covered in ARG evaluation,,,,,SUPPORTING,,NOT_ASSESSED,,,,,,,1.3-candidate,G2-BATCH-C
SRC-G2-046,P52,Somerset Cultural Strategy Final,strategy,,23/01/24,Archive projects/2022 Projects/2022 Somerset Cultural Strategy/2022 Somerset reporting/230124 Somerset Cultural Strategy final.docx,,,COMPLETE,,,Cultural strategy for Somerset; CCI and skills mapping; baseline; World Cafes; EDI; creative districts; 79542 chars — substantial,,,,extracted_text/P52-somerset-strategy_v1.txt,CANONICAL,,REVIEWED,,full,79542 chars; substantial report; full read confirmed,,Devin,26/09/12,1.3-candidate,G2-BATCH-C
SRC-G2-047,P52,Somerset Cultural Strategy Baseline Final,baseline_report,,23/02/07,Archive projects/2022 Projects/2022 Somerset Cultural Strategy/2022 Somerset Baselines/230207 Somerset Cultural Strategy baseline FINAL.docx,,,SUPPORTING,,,Baseline report for Somerset cultural strategy  Somerset baseline report; content covered in strategy,,,,,SUPPORTING,,NOT_ASSESSED,,,,,,,1.3-candidate,G2-BATCH-C
SRC-G2-048,P52,Somerset Area Skills Analysis,research_report,,23/01/03,Archive projects/2022 Projects/2022 Somerset Cultural Strategy/2022 Somerset reporting/230103 SOMERSET AREA SKILLS ANALYSIS FINAL.docx,,,SUPPORTING,,,Skills analysis for Somerset cultural sector  Somerset skills analysis; content covered in strategy,,,,,SUPPORTING,,NOT_ASSESSED,,,,,,,1.3-candidate,G2-BATCH-C
SRC-G2-049,P54,Manchester Place Partnership Proposal,proposal,,22/07/08,Archive projects/2022 Projects/2022 Manchester Place Partnership Project/220708 TheFifthSector_ManchesterPlacePartnership_proposal.docx,,,COMPLETE,,,Proposal for Manchester Place Partnership EOI; £14980 fee; 220 hours; stakeholder engagement; World Cafe; skills mapping; 59799 chars,,,,extracted_text/P54-mcr-place-proposal_v1.txt,CANONICAL,,REVIEWED,,full,59799 chars; full read confirmed,,Devin,26/09/12,1.3-candidate,G2-BATCH-C
SRC-G2-050,P54,Manchester Place Partnership Workshop Notes,workshop_notes,,22/10/06,Archive projects/2022 Projects/2022 Manchester Place Partnership Project/221006 Manchester Place Partnership workshop.docx,,,COMPLETE,,,Workshop notes from Manchester Place Partnership session,,,,extracted_text/P54-mcr-place-workshop_v1.txt,SUPPORTING,,REVIEWED,,full,783 bytes; workshop notes; minimal content,,Devin,26/09/12,1.3-candidate,G2-BATCH-C
SRC-G2-051,P57,Rushmoor Cultural Strategy and Compact Baseline v2,baseline_report,,21/12,Archive projects/2022 Projects/2022 Rushmoor/2112 Rushmoor Creative Economy Baseline v2.docx,,,COMPLETE,,,CCI baseline for Rushmoor; creative workforce; productivity; computer games; film/TV; music; COVID impact; 125065 chars — substantial,,,,extracted_text/P57-rushmoor-baseline_v1.txt,CANONICAL,,REVIEWED,,full,125065 chars; substantial report; full read confirmed,,Devin,26/09/12,1.3-candidate,G2-BATCH-C
SRC-G2-052,P57,Rushmoor Stakeholder Interviews Synthesis,research_report,,22/01/19,Archive projects/2022 Projects/2022 Rushmoor/220119 Rushmoor Stakeholder Interviews Synthesis Edited.docx,,,COMPLETE,,,Stakeholder interview synthesis for Rushmoor cultural strategy,,,,extracted_text/P57-rushmoor-stakeholder_v1.txt,SUPPORTING,,REVIEWED,,full,,,Devin,26/09/12,1.3-candidate,G2-BATCH-C
SRC-G2-053,P57,Rushmoor Strategy and Compact Final,strategy,,22/02/22,Archive projects/2022 Projects/2022 Rushmoor/220222 Rushmoor Strategy and Compact.docx,,,COMPLETE,,,Final strategy and compact document for Rushmoor,,,,extracted_text/P57-rushmoor-strategy_v1.txt,SUPPORTING,,REVIEWED,,full,1925 bytes; short strategy document,,Devin,26/09/12,1.3-candidate,G2-BATCH-C
SRC-G2-054,P58,Plymouth NMP Case Study Codex,research_report,,23/05/12,Archive projects/2022 Projects/2022 Plymouth National Marine Park/230512 NMP case study codex.docx,,,COMPLETE,,,Case study codex for Plymouth National Marine Park digital exemplars,,,,extracted_text/P58-plymouth-nmp-codex_v1.txt,CANONICAL,,REVIEWED,,full,3735 bytes; case study codex; full read confirmed,,Devin,26/09/12,1.3-candidate,G2-BATCH-C
SRC-G2-055,P58,Plymouth NMP Digital Procurement Spec,specification,,22/09/15,Archive projects/2022 Projects/2022 Plymouth National Marine Park/220915 NMP Digital Procurement Spec FINAL FINAL DRAFT.docx,,,SUPPORTING,,,Digital procurement specification for NMP  NMP digital procurement spec; not separately extracted,,,,,SUPPORTING,,NOT_ASSESSED,,,,,,,1.3-candidate,G2-BATCH-C
SRC-G2-056,P58,Plymouth NMP Digital Strategy,strategy,,22/01,Archive projects/2022 Projects/2022 Plymouth National Marine Park/Digital Strategy.pdf,,,COMPLETE,,,Digital strategy for Plymouth National Marine Park,,,,extracted_text/P58-plymouth-nmp-digital-strategy_v1.txt,SUPPORTING,,REVIEWED,,,2334 chars; short digital strategy with diagram-like content; PyPDF2 extraction successful after re-attempt; previously flagged as BINARY,,Devin,26/09/12,1.3-candidate,G2-BATCH-C
SRC-G2-057,P61,Leicester CCI Strategy Final Report,strategy,,24/04/15,Archive projects/2023 Projects/2023 Leicester/2022 Leicester reporting/2023 Leicester Final report/240415 Leicester CCI final report.docx,,,COMPLETE,,,Leicester CCI strategy; interim summary 23/06; final report 24/04; 17875 chars; compact; data; literature review; benchmarking; engagement,,,,extracted_text/P61-leicester-final_v1.txt,CANONICAL,,REVIEWED,,full,17875 chars; full read confirmed,,Devin,26/09/12,1.3-candidate,G2-BATCH-C
SRC-G2-058,P61,Leicester CCI Strategy Web Published Version,strategy,,23/06,Archive projects/2023 Projects/2023 Leicester/2022 Leicester reporting/8015-lcc-cultural-and-creative-industry-strategy_web-1.pdf,,,SUPPORTING,,,Published web version of Leicester CCI strategy  Web published version; content covered in final report,,,,extracted_text/SRC-G2-058_v1_full.txt,SUPPORTING,,NOT_ASSESSED,,full,,,,,1.3-candidate,G2-BATCH-C
SRC-G2-059,P62,TRP Education and Learning Findings Report,research_report,,23/11/08,Archive projects/2023 Projects/2023 Theatre Royal Plymouth/2023 TRP Reporting/231108 TRP Fifth Sector Final Report v3.docx,,,COMPLETE,,,Findings report for TRP Education and Learning; interviews with staff/partners/stakeholders; five key opportunities; 61434 chars — substantial,,,,extracted_text/P62-trp-final_v1.txt,CANONICAL,,REVIEWED,,full,61434 chars; substantial report; full read confirmed,,Devin,26/09/12,1.3-candidate,G2-BATCH-C
SRC-G2-060,P62,TRP Project Inception,inception,,23/07/19,Archive projects/2023 Projects/2023 Theatre Royal Plymouth/230719 TRP project inception.docx,,,SUPPORTING,,,Project inception document for TRP engagement  TRP project inception; content covered in final report,,,,,SUPPORTING,,NOT_ASSESSED,,,,,,,1.3-candidate,G2-BATCH-C
SRC-G2-061,P63,UoL Heritage CPD Scoping Proposal,proposal,,23/03/14,Archive projects/2023 Projects/2023 University of Liverpool Heritage CPD/Proposal/230314_UoL_HSS_TheFifthSector_proposal.docx,,,COMPLETE,,,Proposal for Heritage CPD scoping exercise for University of Liverpool; future direction and viability; 13470 chars,,,,extracted_text/P63-uol-heritage-proposal_v1.txt,CANONICAL,,REVIEWED,,full,13470 chars; full read confirmed,,Devin,26/09/12,1.3-candidate,G2-BATCH-C
SRC-G2-062,P63,UoL Heritage CPD Research Summary Presentation,presentation,,23/08,Archive projects/2023 Projects/2023 University of Liverpool Heritage CPD/2023 UoL Reporting/231116 University of Liverpool Heritage CPD.docx,,,SUPPORTING,,,Research summary presentation from UoL Heritage CPD project  PPT presentation; not separately extracted,,,,extracted_text/SRC-G2-062_v1_full.txt,SUPPORTING,,NOT_ASSESSED,,full,,,,,1.3-candidate,G2-BATCH-C
SRC-G2-063,P64,Wakefield Our Year 2024 Draft Impact Framework,framework,,22/10/17,Archive projects/2023 Projects/2023 Wakefield Our Year 2024 BCJ/BCJ/221017 YoC2024 Draft Impact Framework.docx,,,COMPLETE,,,Draft impact framework for Wakefield Our Year 2024 BCJ programme; 6803 chars,,,,extracted_text/P64-wakefield-oy-impact_v1.txt,CANONICAL,,REVIEWED,,full,6803 chars; draft impact framework; full read confirmed,,Devin,26/09/12,1.3-candidate,G2-BATCH-C
SRC-G2-064,P64,Wakefield Our Year 2024 Logic Chain,framework,,22/12/07,Archive projects/2023 Projects/2023 Wakefield Our Year 2024 BCJ/BCJ/221207 Our Year logic chain.pptx,,,SUPPORTING,,,Logic chain presentation for Our Year 2024 programme  PPT logic chain; not separately extracted,,,,extracted_text/SRC-G2-064_v1_full.txt,SUPPORTING,,NOT_ASSESSED,,full,,,,,1.3-candidate,G2-BATCH-C
SRC-G2-065,P68,WYCA Creative Business Support Proposal,proposal,,24/02/02,Archive projects/2024 Projects/2024 WYCA WY Create/240202 WYCA Proposal _Creative Business Support,,,COMPLETE,,,Proposal for WYCA creative business support programme; YCMIH network; freelance framework; Phase 1 and Phase 2,,,Archive projects/2024 Projects/2024 WYCA WY Create/240202 WYCA Proposal _Creative Business Support/240128 WYCA CCI outline draft proposal.docx,extracted_text/P68-wyca-proposal_v1.txt,CANONICAL,,REVIEWED,,,9854 chars; 84 paragraphs; full read confirmed; previously empty extraction now resolved,,Devin,26/09/12,1.3-candidate,G2-BATCH-C
